"filename","download_date","year"
"MMHR71DT.DTA","2021-07-26",2016
"MZIR31DT.DTA","2021-07-26",1997
"MZHR31DT.DTA","2021-07-26",1997
"MZIR41DT.DTA","2021-07-26",2003
"MZHR41DT.DTA","2021-07-26",2003
"MZGE52FL.DBF","2021-07-26",2009
"MZIR51DT.DTA","2021-07-26",2009
"MZHR51DT.DTA","2021-07-26",2009
"MZGE61FL.DBF","2021-07-26",2011
"MZIR62DT.DTA","2021-07-26",2011
"MZHR62DT.DTA","2021-07-26",2011
"MZGE71FL.DBF","2021-07-26",2015
"MZIR71DT.DTA","2021-07-26",2015
"MZHR71DT.DTA","2021-07-26",2015
"MZGE7AFL.DBF","2021-07-26",2018
"MZIR7ADT.DTA","2021-07-26",2018
"MZHR7ADT.DTA","2021-07-26",2018
"MAGE43FL.DBF","2021-07-26",2003
"MAIR43DT.DTA","2021-07-26",2003
"MAHR43DT.DTA","2021-07-26",2003
"MBGE52FL.DBF","2021-07-26",2005
"MBIR53DT.DTA","2021-07-26",2005
"MBHR53DT.DTA","2021-07-26",2005
"MLGE33FL.DBF","2021-07-26",1996
"MLIR32DT.DTA","2021-07-26",1996
"MLHR32DT.DTA","2021-07-26",1996
"MLGE42FL.DBF","2021-07-26",2001
"MLIR41DT.DTA","2021-07-26",2001
"MLHR41DT.DTA","2021-07-26",2001
"MLGE52FL.DBF","2021-07-26",2006
"MLIR53DT.DTA","2021-07-26",2006
"MLHR53DT.DTA","2021-07-26",2006
"MLGE6BFL.DBF","2021-07-26",2012
"MLIR6ADT.DTA","2021-07-26",2012
"MLHR6ADT.DTA","2021-07-26",2012
"MLGE71FL.DBF","2021-07-26",2015
"MLIR72DT.DTA","2021-07-26",2015
"MLHR72DT.DTA","2021-07-26",2015
"MLGE7AFL.DBF","2021-07-26",2018
"MLIR7ADT.DTA","2021-07-26",2018
"MLHR7ADT.DTA","2021-07-26",2018
"MVIR52DT.DTA","2021-07-26",2009
"MVHR52DT.DTA","2021-07-26",2009
"MVIR71DT.DTA","2021-07-26",2016
"MVHR71DT.DTA","2021-07-26",2016
"MWGE43FL.DBF","2021-07-26",2000
"MWIR41DT.DTA","2021-07-26",2000
"MWHR41DT.DTA","2021-07-26",2000
"MWGE4BFL.DBF","2021-07-26",2004
"MWIR4EDT.DTA","2021-07-26",2004
"MWHR4EDT.DTA","2021-07-26",2004
"MWGE62FL.DBF","2021-07-26",2010
"MWIR61DT.DTA","2021-07-26",2010
"MWHR61DT.DTA","2021-07-26",2010
"MWGE6AFL.DBF","2021-07-26",2012
"MWIR6ADT.DTA","2021-07-26",2012
"MWHR6ADT.DTA","2021-07-26",2012
"MWGE71FL.DBF","2021-07-26",2014
"MWIR72DT.DTA","2021-07-26",2014
"MWHR72DT.DTA","2021-07-26",2014
"MWGE7AFL.DBF","2021-07-26",2015
"MWIR7ADT.DTA","2021-07-26",2015
"MWHR7ADT.DTA","2021-07-26",2015
"MWGE7IFL.DBF","2021-07-26",2017
"MWIR7IDT.DTA","2021-07-26",2017
"MWHR7IDT.DTA","2021-07-26",2017
"MDGE32FL.DBF","2021-07-26",1997
"MDIR31DT.DTA","2021-07-26",1997
"MDHR31DT.DTA","2021-07-26",1997
"MDIR42DT.DTA","2021-07-26",2004
"MDHR42DT.DTA","2021-07-26",2004
"MDGE53FL.DBF","2021-07-26",2008
"MDIR51DT.DTA","2021-07-26",2008
"MDHR51DT.DTA","2021-07-26",2008
"MDGE61FL.DBF","2021-07-26",2011
"MDIR61DT.DTA","2021-07-26",2011
"MDHR61DT.DTA","2021-07-26",2011
"MDGE6AFL.DBF","2021-07-26",2013
"MDIR6ADT.DTA","2021-07-26",2013
"MDHR6ADT.DTA","2021-07-26",2013
"MDGE71FL.DBF","2021-07-26",2016
"MDIR71DT.DTA","2021-07-26",2016
"MDHR71DT.DTA","2021-07-26",2016
"LBGE52FL.DBF","2021-07-26",2007
"LBIR51DT.DTA","2021-07-26",2007
"LBHR51DT.DTA","2021-07-26",2007
"LBGE5CFL.DBF","2021-07-26",2009
"LBIR5ADT.DTA","2021-07-26",2009
"LBHR5ADT.DTA","2021-07-26",2009
"LBGE61FL.DBF","2021-07-26",2011
"LBIR61DT.DTA","2021-07-26",2011
"LBHR61DT.DTA","2021-07-26",2011
"LBGE6AFL.DBF","2021-07-26",2013
"LBIR6ADT.DTA","2021-07-26",2013
"LBHR6ADT.DTA","2021-07-26",2013
"LBGE71FL.DBF","2021-07-26",2016
"LBIR71DT.DTA","2021-07-26",2016
"LBHR71DT.DTA","2021-07-26",2016
"LBGE7AFL.DBF","2021-07-26",2019
"LBIR7ADT.DTA","2021-07-26",2019
"LBHR7ADT.DTA","2021-07-26",2019
"LSGE42FL.DBF","2021-07-26",2004
"LSIR41DT.DTA","2021-07-26",2004
"LSHR41DT.DTA","2021-07-26",2004
"LSGE62FL.DBF","2021-07-26",2009
"LSIR61DT.DTA","2021-07-26",2009
"LSHR61DT.DTA","2021-07-26",2009
"LSGE71FL.DBF","2021-07-26",2014
"LSIR71DT.DTA","2021-07-26",2014
"LSHR71DT.DTA","2021-07-26",2014
"KYIR31DT.DTA","2021-07-26",1997
"KYHR31DT.DTA","2021-07-26",1997
"KYGE61FL.DBF","2021-07-26",2012
"KYIR61DT.DTA","2021-07-26",2012
"KYHR61DT.DTA","2021-07-26",2012
"KEIR3ADT.DTA","2021-07-26",1998
"KEHR3ADT.DTA","2021-07-26",1998
"KEGE43FL.DBF","2021-07-26",2003
"KEGE52FL.DBF","2021-07-26",2008
"KEIR52DT.DTA","2021-07-26",2008
"KEHR52DT.DTA","2021-07-26",2008
"KEGE71FL.DBF","2021-07-26",2014
"KEIR72DT.DTA","2021-07-26",2014
"KEHR72DT.DTA","2021-07-26",2014
"KEGE7AFL.DBF","2021-07-26",2015
"KEIR7ADT.DTA","2021-07-26",2015
"KEHR7ADT.DTA","2021-07-26",2015
"KKIR42DT.DTA","2021-07-26",1999
"KKHR42DT.DTA","2021-07-26",1999
"JOIR31DT.DTA","2021-07-26",1997
"JOHR31DT.DTA","2021-07-26",1997
"JOGE43FL.DBF","2021-07-26",2002
"JOIR42DT.DTA","2021-07-26",2002
"JOHR42DT.DTA","2021-07-26",2002
"JOGE52FL.DBF","2021-07-26",2007
"JOIR51DT.DTA","2021-07-26",2007
"JOHR51DT.DTA","2021-07-26",2007
"JOIR61DT.DTA","2021-07-26",2009
"JOHR61DT.DTA","2021-07-26",2009
"JOGE6AFL.DBF","2021-07-26",2012
"JOIR6CDT.DTA","2021-07-26",2012
"JOHR6CDT.DTA","2021-07-26",2012
"JOGE71FL.DBF","2021-07-26",2017
"JOIR73DT.DTA","2021-07-26",2017
"JOHR73DT.DTA","2021-07-26",2017
"IDIR3ADT.DTA","2021-07-26",1997
"IDHR3ADT.DTA","2021-07-26",1997
"IDGE43FL.DBF","2021-07-26",2003
"IDIR42DT.DTA","2021-07-26",2003
"IDHR42DT.DTA","2021-07-26",2003
"IDIR51DT.DTA","2021-07-26",2007
"IDHR51DT.DTA","2021-07-26",2007
"IDIR63DT.DTA","2021-07-26",2012
"IDHR63DT.DTA","2021-07-26",2012
"WBIR42DT.DTA","2021-07-26",1999
"WBHR42DT.DTA","2021-07-26",1999
"UPIR42DT.DTA","2021-07-26",1999
"UPHR42DT.DTA","2021-07-26",1999
"TRIR42DT.DTA","2021-07-26",1999
"TRHR42DT.DTA","2021-07-26",1999
"TNIR42DT.DTA","2021-07-26",1999
"TNHR42DT.DTA","2021-07-26",1999
"SKIR42DT.DTA","2021-07-26",1999
"SKHR42DT.DTA","2021-07-26",1999
"RJIR42DT.DTA","2021-07-26",1999
"RJHR42DT.DTA","2021-07-26",1999
"PJIR42DT.DTA","2021-07-26",1999
"PJHR42DT.DTA","2021-07-26",1999
"ORIR42DT.DTA","2021-07-26",1999
"ORHR42DT.DTA","2021-07-26",1999
"NAIR42DT.DTA","2021-07-26",1999
"NAHR42DT.DTA","2021-07-26",1999
"MZIR42DT.DTA","2021-07-26",1999
"MZHR42DT.DTA","2021-07-26",1999
"MPIR42DT.DTA","2021-07-26",1999
"MPHR42DT.DTA","2021-07-26",1999
"MNIR42DT.DTA","2021-07-26",1999
"MNHR42DT.DTA","2021-07-26",1999
"MHIR42DT.DTA","2021-07-26",1999
"MHHR42DT.DTA","2021-07-26",1999
"MGIR42DT.DTA","2021-07-26",1999
"MGHR42DT.DTA","2021-07-26",1999
"KEIR42DT.DTA","2021-07-26",1999
"KEHR42DT.DTA","2021-07-26",1999
"KAIR42DT.DTA","2021-07-26",1999
"KAHR42DT.DTA","2021-07-26",1999
"JMIR42DT.DTA","2021-07-26",1999
"JMHR42DT.DTA","2021-07-26",1999
"HRIR42DT.DTA","2021-07-26",1999
"HRHR42DT.DTA","2021-07-26",1999
"HPIR42DT.DTA","2021-07-26",1999
"HPHR42DT.DTA","2021-07-26",1999
"GOIR42DT.DTA","2021-07-26",1999
"GOHR42DT.DTA","2021-07-26",1999
"GJIR42DT.DTA","2021-07-26",1999
"GJHR42DT.DTA","2021-07-26",1999
"DLIR42DT.DTA","2021-07-26",1999
"DLHR42DT.DTA","2021-07-26",1999
"BHIR42DT.DTA","2021-07-26",1999
"BHHR42DT.DTA","2021-07-26",1999
"ASIR42DT.DTA","2021-07-26",1999
"ASHR42DT.DTA","2021-07-26",1999
"ARIR42DT.DTA","2021-07-26",1999
"ARHR42DT.DTA","2021-07-26",1999
"APIR42DT.DTA","2021-07-26",1999
"APHR42DT.DTA","2021-07-26",1999
"IAIR42DT.DTA","2021-07-26",1999
"IAHR42DT.DTA","2021-07-26",1999
"IAIR52DT.DTA","2021-07-26",2006
"IAHR52DT.DTA","2021-07-26",2006
"IAGE71FL.DBF","2021-07-26",2015
"IAIR74DT.DTA","2021-07-26",2015
"IAHR74DT.DTA","2021-07-26",2015
"HNIR52DT.DTA","2021-07-26",2005
"HNHR52DT.DTA","2021-07-26",2005
"HNGE61FL.DBF","2021-07-26",2011
"HNIR62DT.DTA","2021-07-26",2011
"HNHR62DT.DTA","2021-07-26",2011
"HTGE42FL.DBF","2021-07-26",2000
"HTIR42DT.DTA","2021-07-26",2000
"HTHR42DT.DTA","2021-07-26",2000
"HTGE52FL.DBF","2021-07-26",2006
"HTIR52DT.DTA","2021-07-26",2006
"HTHR52DT.DTA","2021-07-26",2006
"HTGE61FL.DBF","2021-07-26",2012
"HTIR61DT.DTA","2021-07-26",2012
"HTHR61DT.DTA","2021-07-26",2012
"HTGE71FL.DBF","2021-07-26",2016
"HTIR71DT.DTA","2021-07-26",2016
"HTHR71DT.DTA","2021-07-26",2016
"GYIR51DT.DTA","2021-07-26",2005
"GYHR51DT.DTA","2021-07-26",2005
"GYGE5JFL.DBF","2021-07-26",2009
"GYIR5IDT.DTA","2021-07-26",2009
"GYHR5IDT.DTA","2021-07-26",2009
"GNGE42FL.DBF","2021-07-26",1999
"GNIR41DT.DTA","2021-07-26",1999
"GNHR41DT.DTA","2021-07-26",1999
"GNGE52FL.DBF","2021-07-26",2005
"GNIR52DT.DTA","2021-07-26",2005
"GNHR52DT.DTA","2021-07-26",2005
"GNGE61FL.DBF","2021-07-26",2012
"GNIR62DT.DTA","2021-07-26",2012
"GNHR62DT.DTA","2021-07-26",2012
"GNGE71FL.DBF","2021-07-26",2018
"GNIR71DT.DTA","2021-07-26",2018
"GNHR71DT.DTA","2021-07-26",2018
"GUIR41DT.DTA","2021-07-26",1999
"GUHR41DT.DTA","2021-07-26",1999
"GUGE71FL.DBF","2021-07-26",2015
"GUIR71DT.DTA","2021-07-26",2015
"GUHR71DT.DTA","2021-07-26",2015
"GHGE42FL.DBF","2021-07-26",1998
"GHIR41DT.DTA","2021-07-26",1998
"GHHR41DT.DTA","2021-07-26",1998
"GHGE4BFL.DBF","2021-07-26",2003
"GHIR4BDT.DTA","2021-07-26",2003
"GHHR4BDT.DTA","2021-07-26",2003
"GHGE5AFL.DBF","2021-07-26",2008
"GHIR5ADT.DTA","2021-07-26",2008
"GHHR5ADT.DTA","2021-07-26",2008
"GHGE71FL.DBF","2021-07-26",2014
"GHIR72DT.DTA","2021-07-26",2014
"GHHR72DT.DTA","2021-07-26",2014
"GHGE7AFL.DBF","2021-07-26",2016
"GHIR7BDT.DTA","2021-07-26",2016
"GHHR7BDT.DTA","2021-07-26",2016
"GHGE81FL.DBF","2021-07-26",2019
"GHIR82DT.DTA","2021-07-26",2019
"GHHR82DT.DTA","2021-07-26",2019
"GMIR61DT.DTA","2021-07-26",2013
"GMHR61DT.DTA","2021-07-26",2013
"GMIR81DT.DTA","2021-07-26",2019
"GMHR81DT.DTA","2021-07-26",2019
"GAIR41DT.DTA","2021-07-26",2000
"GAHR41DT.DTA","2021-07-26",2000
"GAGE61FL.DBF","2021-07-26",2012
"GAIR61DT.DTA","2021-07-26",2012
"GAHR61DT.DTA","2021-07-26",2012
"ETGE42FL.DBF","2021-07-26",2000
"ETIR41DT.DTA","2021-07-26",2000
"ETHR41DT.DTA","2021-07-26",2000
"ETGE52FL.DBF","2021-07-26",2005
"ETIR51DT.DTA","2021-07-26",2005
"ETHR51DT.DTA","2021-07-26",2005
"ETGE61FL.DBF","2021-07-26",2011
"ETIR61DT.DTA","2021-07-26",2011
"ETHR61DT.DTA","2021-07-26",2011
"ETGE71FL.DBF","2021-07-26",2016
"ETIR71DT.DTA","2021-07-26",2016
"ETHR71DT.DTA","2021-07-26",2016
"ETGE81FL.DBF","2021-07-26",2019
"ETIR81DT.DTA","2021-07-26",2019
"ETHR81DT.DTA","2021-07-26",2019
"SZGE53FL.DBF","2021-07-26",2006
"SZIR51DT.DTA","2021-07-26",2006
"SZHR51DT.DTA","2021-07-26",2006
"EGGE42FL.DBF","2021-07-26",2000
"EGIR42DT.DTA","2021-07-26",2000
"EGHR42DT.DTA","2021-07-26",2000
"EGGE4BFL.DBF","2021-07-26",2003
"EGIR4ADT.DTA","2021-07-26",2003
"EGHR4ADT.DTA","2021-07-26",2003
"EGGE52FL.DBF","2021-07-26",2005
"EGIR51DT.DTA","2021-07-26",2005
"EGHR51DT.DTA","2021-07-26",2005
"EGGE5DFL.DBF","2021-07-26",2008
"EGIR5ADT.DTA","2021-07-26",2008
"EGHR5ADT.DTA","2021-07-26",2008
"EGGE61FL.DBF","2021-07-26",2014
"EGIR61DT.DTA","2021-07-26",2014
"EGHR61DT.DTA","2021-07-26",2014
"DRIR32DT.DTA","2021-07-26",1996
"DRHR32DT.DTA","2021-07-26",1996
"DRIR41DT.DTA","2021-07-26",1999
"DRHR41DT.DTA","2021-07-26",1999
"DRIR4BDT.DTA","2021-07-26",2002
"DRHR4BDT.DTA","2021-07-26",2002
"DRIR5ADT.DTA","2021-07-26",2007
"DRHR5ADT.DTA","2021-07-26",2007
"DRGE52FL.DBF","2021-07-26",2007
"DRIR52DT.DTA","2021-07-26",2007
"DRHR52DT.DTA","2021-07-26",2007
"DRGE6AFL.DBF","2021-07-26",2013
"DRIR6ADT.DTA","2021-07-26",2013
"DRHR6ADT.DTA","2021-07-26",2013
"DRGE61FL.DBF","2021-07-26",2013
"DRIR61DT.DTA","2021-07-26",2013
"DRHR61DT.DTA","2021-07-26",2013
